idprojeto,idnucleo,nmprojeto,dtini,dtfim,dsobjetivo,vlcacb,vltotal,idbanco,dsagencia,dsconta,flcompleto,nuctr,operacao,termoadt,dspublicoalvo,dsresultado,dtassinaturaadt,flstatus,idgestorprojeto,vlcontrafinan,vlcontraecono,vlsubtotal,dsprojeto,nuduracao,identidadeprop,dsresultado2,dsresultado3,idprojeto_projeto_base,tipo_projeto,sistematica_financeira,forma_liberacao,orcamento_obrigatorio,identidadeexec,nmfantasia,dtini_realizada,dtfim_realizada,iddocsanexar,iddocsencerramento,idmodelosimpressao,dtfim_nova,dtini_nova,conta_tipo,pix_tipo,pix_chave,termino_solicitado,pj_restrito,premissas,id_projeto_classe,moeda_adicional,metas_vinculadas,financiamento_compartilhado,conta_corrente_cacb
2009,25102,Apoio ao desenvolvimento dos empreendimentos integrantes do Núcleo de Turismo de Canguçu-RS,2021-02-02,2021-06-29,"Apoiar o desenvolvimento dos empreendimentos integrantes do Núcleo de Turismo de Canguçu, promovendo, qualificação, integração, acesso ao mercado, criação e/ou melhorias de produtos e serviços, com vistas a fomentar a economia local a partir do turismo.",75748.4000000000,138447.40,1  ,0617-3,56469-9,nao  ,,,,As 10 empresas participantes do projeto estão atuando em cooperação através da organização do núcleo de turismo desde junho de 2020.,,,concl,00508380081,49799.0000000000,12900.0000000000,62699.0000000000,"Canguçu é reconhecida como a Capital Nacional da Agricultura Familiar, tendo assim a agricultura como principal fonte economica local, somando mais de 16 mil pequenas propriedades rurais. Da sua população total de aproximadamente 57 mil habitantes, 65% desta, ainda mora no meio rural.
Localizada na Serra dos Tapes, Canguçu integra o APL de turismo da Costa Doce. 
Sua organização local de turismo vem sido fortalecida de forma mais expressiva dese 2017, com o construção do Planejamento estratégio do munipio através de uma integração da gestão publica, entidades sem fins lucaritivos e das forças pruditvas locais, com a colocação do turismo como um Campo de Competência a ser desenvolvido como alternativa para a diversificação econômica e fortalecimento dos emprendimentos e iniciativas locais. 
Os eixos dos Campos de Competência, estão sendo trabalhados de forma conjunta com as entidades e empresas que compõe o Programa de Desenvolvimento Econômico Local – PRODEL- através do Conselho de Desenvolvimento Econômico e de suas Câmaras Ténicas- CT-  em especial da  CT de Turismo. 
Cabe destacar ainda que em 2020 o municipio foi premiado no Concurso TOP 100 de Destino Sustentáveis promovido pelo Green Destionations. E em 2021 esta concorrendo novamente a premiação de destaque entre os destinos turisticos mundiais com iniciativas voltadas a sustentabilidade do destino. 
O Núcleo de Turismo, tem desenvolvido atividades conjuntas desde junho de 2020. Este é composto por um grupo de 10 empresas/ propriedades que atuam de forma privada e coletiva na organização dos seus negócios e no mercado de turismo. O nucleo assumuiu ainda a função de governça local do turismo, como forma de contribuir com a melhor organização do trade. 
Os empreendimentos que intragram o núcleo, 7 estão inseridos em roteiros locais de turismo, sendo um Circuito de Cicloturismo e um Roteiro de Turismo Rural, sendo que pela composição geografica destes roteiros alguns empreendimentos participam dos dois roteiros. 
	Percebe-se a partir das capacitações e iniciativas locais que existem oportunidades e desafios,  voltados a profissionalização do atendimento e da oferta turistica local vinculada aos espaços de promoção, comercializaçã, posionamento, marketing e geração de novos produtos e serviços. 
Assim, o núcleo tem buscado assumir o papel de fomentador destas iniciativas, buscando parcerias para o desenvolvimento destes pilares, oportunizando o crescimento e o desenvolvimento dos empreendimentos nucleados refletindo ainda nos demais empreendimentos e inciativas do trade turístico local.",,120,,,189,APOIADO,2,CC,false,120,Apoio ao desenvolvimento dos empreendimentos integrantes do Núcleo de Turismo de Canguçu-RS,2021-04-29,2021-12-09,1,1,,2021-06-29,,Corrente,,,2021-10-31 00:00:00,false,,,,false,,false
2010,25056,Apoio ao desenvolvimento das empresas participantes dos núcleos setoriais de Patrocínio - MG,2021-04-01,2021-06-30,Apoiar as empresas participantes dos núcleos setoriais da Associação Comercial de Patrocínio/MG com ações de consultoria em gestão e identificação de pontos a serem melhorados em aspectos gerais das empresas.,25217.5000000000,45850.00,104,0084,00006188-6,nao  ,,,ADT 0052/2021 CONVÊNIO N° 007/2018,Empresários e gestores filiados aos Núcleos Setoriais de Patrocínio/MG.,,,concl,05339590631,10316.2500000000,10316.2500000000,20632.5000000000,"O Núcleo de Materiais de Construção já existe há mais de três anos e nunca foi contemplado com nenhum projeto de apoio as atividades, além deste fato, seria extremamente importante podermos trabalhar aspectos referentes a gestão com os mesmos, uma vez que a maioria das empresas apresenta grandes dificuldades com relação a inovação e melhoria de atendimento, pois a maioria são empresas tradicionalistas que ainda trabalham de forma muitas vezes ultrapassada.

O Núcleo de Petshops existe há aproximadamente um ano, tem sofrido bastante com a abertura de novos negócios na cidade, devido ao grande número de formandos em veterinária pela faculdade local, estas novas empresas por muitas vezes começam praticando preços abaixo do mercado ou até mesmo trabalhando na informalidade, sendo assim os participantes do núcleo tem grande necessidade de aprimoramento da fidelização de clientes e otimização de processos para que as mesmas consigam se manter no mercado.",,20,,,189,APOIADO,2,CC,false,56,Apoio ao desenvolvimento das empresas participantes dos núcleos setoriais de Patrocínio - MG,2021-04-29,2021-10-22,,,,2021-06-30,2021-04-01,Corrente,,,,false,,,,false,,false
2011,25109,Fortalecimento Competitivo e Busca de Mercado do Núcleo de Malharias 2019 - 2021,2021-03-01,2021-06-30,"Promover o fortalecimento do Núcleo de Malharias, buscar novos mercados.",22983.7200000000,42630.44,104,0084,00006188-6,nao  ,,,,07 (sete) empresas participantes do Núcleo Setorial de Malharias da ACIJA – Associação Comercial e Empresarial de Jacutinga.,,,concl,05339590631,9823.3600000000,9823.3600000000,19646.7200000000,"O Núcleo de Malharia foi fundado em fevereiro de 2020, devido à necessidade de unir o setor para impulsionar a competitividade no mercado atacadista e varejista de roupas. Atualmente fazem parte do grupo 07 empresas, localizadas em diversos pontos estratégicos de nossa cidade. O núcleo de Malharias se empenha em oferecer o melhor atendimento e qualidade de seus produtos, visando sempre à satisfação dos seus clientes, parceiros e colaboradores. A união dessas empresas e o apoio da ACIJA, o núcleo acredita que a capacitação, análise da situação atual da empresa em relação às suas tecnologias, produtos, logística interna, produção e finanças, são iniciativas importantes para conquistar a excelência em gestão do atacado e varejo que é sempre estar mais próximo de seus clientes.",,20,,,189,APOIADO,2,CC,false,126,Núcleo de Malharias - Jacutinga,2021-04-29,2021-10-22,,,,2021-06-30,2021-03-01,Corrente,,,,false,,,,false,,false
2012,,Educação Empresarial da Associação Comercial e Industrial de Ribeirão Preto,2020-06-01,2021-02-28,"Desenvolver as habilidades empresariais e gerenciais de empresários e colaboradores das micro e pequenas empresas por meio de capacitações e consultorias individualizadas, com foco na melhoria contínua das empresas, sempre buscando inovação, crescimento e sustentabilidade.",198000.0000000000,360000.00,1  ,6504-8,70723-6,nao  ,,,,"Micro e pequenas empresas (comércio, indústria e serviços) vinculados à Associação Comercial e Industrial de Ribeirão Preto.",,,concl,21818605805,81000.0000000000,81000.0000000000,162000.0000000000,"Localizada no município de Ribeirão Preto, no interior do estado de São Paulo a ACIRP - Associação Comercial e Industrial de Ribeirão Preto, possui 115 anos de existência e 5.620 associados ativos. Está sob a presidência do empresário Dorival Balbino que em conjunto com a sua diretoria foram reeleitos para o período de abril/2020 a abril/2022. 
O departamento Educação Empresarial é responsável pelos cursos e treinamentos da entidade. Os cursos são livres e de curta duração. Consta em seu catálogo mais de 210 títulos de diversas áreas de conhecimentos: Administração Financeira, Administração geral, Aperfeiçoamento profissional, Comunicação, Contabilidade, Direito, Gastronomia, Gestão Ambiental, Gestão de Pessoas/Recursos Humanos, Indústria, Informática, Liderança e Motivação, Logística / Estoque / Suprimentos, Marketing, Marketing Digital, Moda, Serviços, Vendas / Atendimento / Departamento Comercial. Em 2018 o departamento realizou 88 cursos e capacitou 1.261 pessoas. No ano de 2019 realizou 91 cursos e capacitou 1.407 pessoas.
A qualidade dos cursos e satisfação dos empresários é medida por meio de pesquisa de satisfação. Em 2019 mais de 98% das pessoas aprovaram os cursos quanto a atendimento de expectativas, informações relevantes, utilidade para o desenvolvimento profissional, aplicação dos conhecimentos na empresa e participariam em outros cursos na ACIRP.
A ACIRP possui 07 salas com toda infraestrutura necessária para realização das capacitações. Tais salas estão na sede da entidade e em mais 3 subsedes regionais localizadas em pontos estratégicos do município.
A COVID que forçou ao fechamento temporário de vários empreendimentos com forte impacto no faturamento e na própria continuidade dos negócios acelerou a necessidade das empresas melhorarem os processos, o comércio eletrônico o uso de mídias sociais. Assim, os treinamentos e consultorias irão acelerar a retomada das atividades dos empreendimentos.",,118,,,189,APOIADO,2,CC,false,118,Educação Empresarial da ACIRP,2020-06-01,2021-10-21,1,1,,2021-02-28,2020-06-01,Corrente,,,2021-05-31 00:00:00,false,,,,false,,false
2013,,Ferramentarias de Minas Gerais Mais Competitivas,2020-11-01,2021-05-31,"Apoiar as empresas da cadeia de ferramentaria de MG para que elevem sua competitividade ao nível internacional, por meio da cooperação, aprimoramento dos processos e na produção de peças automotivas de grande porte, e se preparem para produzir peças automotivas de superfície classe “A”.",108900.0000000000,198000.00,1  ,35998,213888,nao  ,,,0558/2020,Empresas de Ferramentaria para Peças Automotivas de MG,,2020-10-26,cance,17726298634,84100.0000000000,5000.0000000000,89100.0000000000,"Ninguém nunca duvidou dos efeitos devastadores da atual crise introduzida no País pela pandemia de coronavírus, que de um dia para outro derrubou a zero (ou quase isso) o faturamento da maioria das empresas do setor automotivo. 
Além de sufocar expectativas de crescimento, como efeito colateral a Covid-19 também embaçou a visão, turvando as projeções, pois ninguém conseguia ver longe o suficiente para estimar quanto a economia poderia afundar. Tendo como base o mês de julho de 2020 e passados quatro meses de recessão, já é possível enxergar um pouco além de hoje ou da semana. (dados da revista eletrônica motor1.com - Indústria: setor automotivo só deve recuperar números de 2021 em 2025 – 10 de julho de 2020)
No mês de junho de 2020, a associação dos fabricantes, Anfavea, fez sua primeira projeção pós-pandemia para 2020, divulgando a preocupante estimativa de retração sobre 2021 de 40% nas vendas de veículos leves e pesados no País, o que significa 1,67 milhão de unidades, resultado que não se via tão ruim desde 2004. E o que a entidade enxerga, na melhor das hipóteses, é o crescimento médio de 11% a partir de 2021, o que fará o mercado brasileiro regressar ao mesmo nível de 2021 (2,8 milhões de unidades) – que já não foi tão bom – apenas em 2025.
Um pouco mais otimistas, os concessionários reunidos na Fenabrave também fizeram suas primeiras projeções pós-pandemia, estimando queda de 36,6% nas vendas de veículos leves e pesados em 2020, o que significará 1,77 milhão de unidades emplacadas, 10 mil a mais do que prevê a Anfavea. 
No entanto, pouco importa saber quem está mais certo ou mais errado, pois ambas as projeções são de desastre, e de alerta para que as empresas se replanejem, estudem seu negócio, e se preparem para o futuro.
De qualquer forma, Ferramental é uma indústria que não pode parar, senão grande parte da indústria no Brasil também para, e é o ponto de partida de muitas cadeias produtivas industriais de produção seriada em larga escala. 
A produção e comercialização anual mundial de veículos automotores estava num crescente e representou um número de aproximadamente 100 milhões de automóveis em 2017 (OICA, 2017). Segundo dados da Fenabrave, o Brasil é o segundo mercado em crescimento do planeta (cresceu 13 % no período de 2017-2020) e representa 3 % do mercado global, caracterizando cerca de três milhões de veículos comercializados anualmente (Figura 1). 
Ninguém nunca duvidou dos efeitos devastadores da atual crise introduzida no País pela pandemia de coronavírus, que de um dia para outro derrubou a zero (ou quase isso) o faturamento da maioria das empresas do setor automotivo. 
Além de sufocar expectativas de crescimento, como efeito colateral a Covid-19 também embaçou a visão, turvando as projeções, pois ninguém conseguia ver longe o suficiente para estimar quanto a economia poderia afundar. Tendo como base o mês de julho de 2020 e passados quatro meses de recessão, já é possível enxergar um pouco além de hoje ou da semana. (dados da revista eletrônica motor1.com - Indústria: setor automotivo só deve recuperar números de 2021 em 2025 – 10 de julho de 2020)
No mês de junho de 2020, a associação dos fabricantes, Anfavea, fez sua primeira projeção pós-pandemia para 2020, divulgando a preocupante estimativa de retração sobre 2021 de 40% nas vendas de veículos leves e pesados no País, o que significa 1,67 milhão de unidades, resultado que não se via tão ruim desde 2004. E o que a entidade enxerga, na melhor das hipóteses, é o crescimento médio de 11% a partir de 2021, o que fará o mercado brasileiro regressar ao mesmo nível de 2021 (2,8 milhões de unidades) – que já não foi tão bom – apenas em 2025.
Um pouco mais otimistas, os concessionários reunidos na Fenabrave também fizeram suas primeiras projeções pós-pandemia, estimando queda de 36,6% nas vendas de veículos leves e pesados em 2020, o que significará 1,77 milhão de unidades emplacadas, 10 mil a mais do que prevê a Anfavea. 
No entanto, pouco importa saber quem está mais certo ou mais errado, pois ambas as projeções são de desastre, e de alerta para que as empresas se replanejem, estudem seu negócio, e se preparem para o futuro.
De qualquer forma, Ferramental é uma indústria que não pode parar, senão grande parte da indústria no Brasil também para, e é o ponto de partida de muitas cadeias produtivas industriais de produção seriada em larga escala. 
A produção e comercialização anual mundial de veículos automotores estava num crescente e representou um número de aproximadamente 100 milhões de automóveis em 2017 (OICA, 2017). Segundo dados da Fenabrave, o Brasil é o segundo mercado em crescimento do planeta (cresceu 13 % no período de 2017-2020) e representa 3 % do mercado global, caracterizando cerca de três milhões de veículos comercializados anualmente (Figura 1). 
Ninguém nunca duvidou dos efeitos devastadores da atual crise introduzida no País pela pandemia de coronavírus, que de um dia para outro derrubou a zero (ou quase isso) o faturamento da maioria das empresas do setor automotivo. 
Além de sufocar expectativas de crescimento, como efeito colateral a Covid-19 também embaçou a visão, turvando as projeções, pois ninguém conseguia ver longe o suficiente para estimar quanto a economia poderia afundar. Tendo como base o mês de julho de 2020 e passados quatro meses de recessão, já é possível enxergar um pouco além de hoje ou da semana. (dados da revista eletrônica motor1.com - Indústria: setor automotivo só deve recuperar números de 2021 em 2025 – 10 de julho de 2020)
No mês de junho de 2020, a associação dos fabricantes, Anfavea, fez sua primeira projeção pós-pandemia para 2020, divulgando a preocupante estimativa de retração sobre 2021 de 40% nas vendas de veículos leves e pesados no País, o que significa 1,67 milhão de unidades, resultado que não se via tão ruim desde 2004. E o que a entidade enxerga, na melhor das hipóteses, é o crescimento médio de 11% a partir de 2021, o que fará o mercado brasileiro regressar ao mesmo nível de 2021 (2,8 milhões de unidades) – que já não foi tão bom – apenas em 2025.
Um pouco mais otimistas, os concessionários reunidos na Fenabrave também fizeram suas primeiras projeções pós-pandemia, estimando queda de 36,6% nas vendas de veículos leves e pesados em 2020, o que significará 1,77 milhão de unidades emplacadas, 10 mil a mais do que prevê a Anfavea. 
No entanto, pouco importa saber quem está mais certo ou mais errado, pois ambas as projeções são de desastre, e de alerta para que as empresas se replanejem, estudem seu negócio, e se preparem para o futuro.
De qualquer forma, Ferramental é uma indústria que não pode parar, senão grande parte da indústria no Brasil também para, e é o ponto de partida de muitas cadeias produtivas industriais de produção seriada em larga escala. 
A produção e comercialização anual mundial de veículos automotores estava num crescente e representou um número de aproximadamente 100 milhões de automóveis em 2017 (OICA, 2017). Segundo dados da Fenabrave, o Brasil é o segundo mercado em crescimento do planeta (cresceu 13 % no período de 2017-2020) e representa 3 % do mercado global, caracterizando cerca de três milhões de veículos comercializados anualmente (Figura 1). 
Ninguém nunca duvidou dos efeitos devastadores da atual crise introduzida no País pela pandemia de coronavírus, que de um dia para outro derrubou a zero (ou quase isso) o faturamento da maioria das empresas do setor automotivo. 
Além de sufocar expectativas de crescimento, como efeito colateral a Covid-19 também embaçou a visão, turvando as projeções, pois ninguém conseguia ver longe o suficiente para estimar quanto a economia poderia afundar. Tendo como base o mês de julho de 2020 e passados quatro meses de recessão, já é possível enxergar um pouco além de hoje ou da semana. (dados da revista eletrônica motor1.com - Indústria: setor automotivo só deve recuperar números de 2021 em 2025 – 10 de julho de 2020)
No mês de junho de 2020, a associação dos fabricantes, Anfavea, fez sua primeira projeção pós-pandemia para 2020, divulgando a preocupante estimativa de retração sobre 2021 de 40% nas vendas de veículos leves e pesados no País, o que significa 1,67 milhão de unidades, resultado que não se via tão ruim desde 2004. E o que a entidade enxerga, na melhor das hipóteses, é o crescimento médio de 11% a partir de 2021, o que fará o mercado brasileiro regressar ao mesmo nível de 2021 (2,8 milhões de unidades) – que já não foi tão bom – apenas em 2025.
Um pouco mais otimistas, os concessionários reunidos na Fenabrave também fizeram suas primeiras projeções pós-pandemia, estimando queda de 36,6% nas vendas de veículos leves e pesados em 2020, o que significará 1,77 milhão de unidades emplacadas, 10 mil a mais do que prevê a Anfavea. 
No entanto, pouco importa saber quem está mais certo ou mais errado, pois ambas as projeções são de desastre, e de alerta para que as empresas se replanejem, estudem seu negócio, e se preparem para o futuro.
De qualquer forma, Ferramental é uma indústria que não pode parar, senão grande parte da indústria no Brasil também para, e é o ponto de partida de muitas cadeias produtivas industriais de produção seriada em larga escala. 
A produção e comercialização anual mundial de veículos automotores estava num crescente e representou um número de aproximadamente 100 milhões de automóveis em 2017 (OICA, 2017). Segundo dados da Fenabrave, o Brasil é o segundo mercado em crescimento do planeta (cresceu 13 % no período de 2017-2020) e representa 3 % do mercado global, caracterizando cerca de três milhões de veículos comercializados anualmente (Figura 1). 
Os principais fabricantes mundiais possuem atividades fabris no Brasil, sendo os três maiores líderes de vendas (com cerca de 40% do mercado) FCA, GM e VW, sendo que a FCA se encontra instalada em MG. Essas empresas contam com engenharia local para o desenvolvimento integrado de produtos(Figura 2).
O mercado de ferramental no mundo representa U$35 bilhões. A cadeia de ferramental se desenvolveu fortemente no mercado Asiático, Europeu e Norte Americano. Na Ásia, ela se diferencia, principalmente, por preços extremamente competitivos. Já na Europa e na América do Norte, a alta competição com o mercado brasileiro se dá devido ao déficit tecnológico brasileiro associado à boa capacidade de gestão empresarial (processos e produtos), prazos e previsões adequados, confiabilidade, avanços tecnológicos constantes e processos estruturados de inovação, nível de formação e capADEBERação técnica dos países concorrentes (AEA, 2021, informação verbal1 ). 
O Brasil participa em menos de 1 % desse mercado. No país, as importações triplicaram nos últimos 10 anos, caracterizando um montante de cerca de R$1,25 bilhão de reais para apenas dois NCMs relacionados a moldes e matrizes. 
Consequentemente, existe a necessidade de apoio para melhoria de competitividade e produtividade, pois conforme se aumenta a complexidade de novos projetos e se encurtam os prazos de lançamentos de novos produtos, esse distanciamento tende a aumentar, ameaçando a sobrevivência do setor.
O apoio a cadeia industrial de ferramental em MG, para que seja mais competitiva, pode estimular o desenvolvimento local de projetos automotivos, pois mais de 40 % do custo de desenvolvimento de um projeto automotivo é devido ao ferramental, sendo 5 % para o powertrain e 35% para o veículo como um todo.
Como cenário de oportunidade para MG, no Brasil há cerca de 100 diferentes modelos de veículos, o que mostra o potencial de lançamento de novos modelos. Avaliando o impacto da substituição de importação de moldes, haveria em média mais 5.100 empregos diretos adicionais, pela substituição de importação de peças críticas (Figura 6).
A proposta do programa Ferramentarias Mineiras Mais Competitivas tem o objetivo de integrar a cadeia tecnológica de ferramental de produtos automotivos, por meio do estudo das empresas, replanejamento estratégico, apoio ao aumento da produtividade e da competitividade, tendo como indicadores a elevação do nível de qualidade e de confiabilidade dos produtos e o aumento do grau de prontidão e de maturidade tecnológica e organizacional, caracterizados pela percepção dos requisitos e restrições impostos pelo avanço da indústria 4.0. 
A proposta do programa Ferramentarias Mineiras Mais Competitivas tem o objetivo de integrar a cadeia tecnológica de ferramental de produtos automotivos, por meio do estudo das empresas, replanejamento estratégico, apoio ao aumento da produtividade e da competitividade, tendo como indicadores a elevação do nível de qualidade e de confiabilidade dos produtos e o aumento do grau de prontidão e de maturidade tecnológica e organizacional, caracterizados pela percepção dos requisitos e restrições impostos pelo avanço da indústria 4.0.",,119,,,189,APOIADO,2,PD,false,119,Ferramentarias de Minas Gerais Mais Competitivas,2020-11-01,,,1,,2021-05-31,2020-11-01,Corrente,,,,false,,,,false,,false
2014,22653,Fortalecimento Competitivo e Busca de Mercado do Além Vest Moda  2019 - 2020,2021-01-04,2021-05-31,"Promover o fortalecimento do Além Vest Moda, buscar novos mercados.",20207.0000000000,36740.04,104,0084,00006188-6,nao  ,,,0031/2021,08 (oito) empresas participantes do Núcleo Setorial do vestuário Além Vest Moda da ACE AP – Associação Comercial e Empresarial de Além Paraíba,,2020-12-07,concl,05339590631,8266.5200000000,8266.5200000000,16533.0400000000,"O Núcleo Além Vest moda foi fundado em agosto de 2015, devido à necessidade de unir o setor para impulsionar a competitividade no mercado varejista de roupas e acessórios. Atualmente fazem parte do grupo 08 empresas, localizadas em diversos pontos estratégicos de nossa cidade. O núcleo Além Vest Moda se empenha em oferecer o melhor atendimento e qualidade de seus produtos, visando sempre à satisfação dos seus clientes, parceiros e colaboradores. A união dessas empresárias e o apoio da ACE AP, o núcleo acredita que a capacitação, bank marketing e busca de novos mercados são iniciativas importantes para conquistar a excelência em gestão do varejo que é sempre estar mais próximo de seus clientes.",,20,,,189,APOIADO,2,CC,false,20,Além Vest Moda,2021-04-16,2021-10-22,1,1,,2021-05-31,2021-01-04,Corrente,,,,false,,,,false,,false
2015,25107,Fortalecimento Competitivo e Busca de Mercado do Núcleo de Malharias 2019 - 2020,2021-01-04,2021-05-31,"Promover o fortalecimento do Núcleo de Malharias, buscar novos mercados.",82161.7200000000,149384.96,104,0084,00006188-6,nao  ,,,0034/2021,17 ( dezessete) empresas participantes do Núcleo Setorial de Malharias da ACIMS – Associação Comercial e Empresarial de Monte Sião,,,concl,05339590631,48225.3700000000,18997.8700000000,67223.2400000000,"O Núcleo de Malharia foi fundado em fevereiro de 2020, devido à necessidade de unir o setor para impulsionar a competitividade no mercado atacadista e varejista de roupas. Atualmente fazem parte do grupo 17 empresas, localizadas em diversos pontos estratégicos de nossa cidade. O núcleo de Malharias se empenha em oferecer o melhor atendimento e qualidade de seus produtos, visando sempre à satisfação dos seus clientes, parceiros e colaboradores. A união dessas empresas e o apoio da ACIMS, o núcleo acredita que a capacitação, banch marking e busca de novos mercados são iniciativas importantes para conquistar a excelência em gestão do atacado e varejo que é sempre estar mais próximo de seus clientes.",,20,,,189,APOIADO,2,CC,false,20,Núcleo de Malharias,2021-04-16,2021-10-19,1,1,,2021-05-31,2021-01-04,Corrente,,,,false,,,,false,,false
2016,22430,Aplicando os resultados da ferramenta MEG (Modelo de Excelência em Gestão),2021-02-01,2021-06-30,"Capacitar as empresas nucleadas nos temas identificados como prioritários (Gestão Estratégica, Gestão Financeira e Gestão Tributária), partindo do diagnóstico obtido com a aplicação da ferramenta MEG (Modelo de Excelência em Gestão).",8722.5000000000,18249.99,104,1525,00000373-7,nao  ,,,,Participantes o núcleo dos jovens empreendedores de Chopinzinho,,,concl,02179005938,6527.4900000000,3000.0000000000,9527.4900000000,"O Núcleo dos Jovens Empreendedores de Chopinzinho (NEJC) foi criado em julho de 2015, com o objetivo de primar pela excelência gerencial entre Jovens empreendedores, estimulando o crescimento econômico e social de Chopinzinho. Utiliza-se do poder do associativismo para projetar as empresas nos mercados atual e futuro, proporcionando desenvolvimento através de ferramentas e técnicas disponíveis por meio da metodologia do Empreender. 

Atualmente o núcleo conta com 10 empresas participantes, integrante de diversos setores produtivos locais, sendo elas: Cerealista Decarli, PB Agência Web, Vision Marketing & Design, Super Loja Móveis, Anginoni & Buginski Advogados Associados, Consultório Odontológico Dr. Emanuel Ferri, Hiperfarma, Dr. Jordan Pasquali, Despachante Mussum e Lamadre. A coordenação atual do núcleo está composta pelo Presidente Yuri De Carli, Vice Diego Bee Anginoni e o Tesoureiro Eduardo Cecatto. 

As principais linhas de atuação previstas no planejamento do núcleo referem-se a: networking, ações de capacitação e conhecimento – como workshops e palestras –, ações para a promoção dos negócios e participação em atividades do Sistema FACIAP e CACB.",,22,,,189,APOIADO,2,CC,false,123,Núcleo dos Jovens Empreendedores de Chopinzinho - NEJC,2021-05-03,2021-12-17,1,1,,2021-06-30,,Corrente,,,2021-10-31 00:00:00,false,,,,false,,false
2017,20583,A importância de bem aplicar ações básicas mais fundamentais para o bom andamento das atividades empresariais,2021-02-01,2021-06-30,"Capacitar as empresárias nucleadas, ampliando seus conhecimentos e segurança para aplicação no dia a dia de suas empresas. Plano de atuação baseado nas ações propostas a partir da análise SWOT realizada em 2020: instrução, informação e entrega de ferramentais nas áreas de finanças e marketing.",4065.6000000000,8522.20,104,1525,00000373-7,nao  ,,,,Empresas participantes do Núcleo setorial,,,concl,02179005938,3256.6000000000,1200.0000000000,4456.6000000000,"Originalmente um Conselho, o Núcleo das Mulheres Empreendedoras de Chopinzinho (NUMEC) foi oficialmente transformado em núcleo em fevereiro de 2016. O Núcleo tem como objetivo a busca constante por conhecimento, mantendo as nucleadas preparadas para novos desafios, tanto na empresa quanto no Núcleo, e assim garantirem crescimento pessoal, profissional e social. 
Atualmente o núcleo conta com dez empresas participantes, sendo elas: Ateliê Requinte, Union Contadores Associados, Eletro Center, Cresol Liderança, Casacar Peças e Acessórios, Hiperfarma e Cozinhas Comelli. A coordenação atual está composta pela Presidente/coordenadora Fabíola Scolaro.
O Núcleo é atuante e tende a se destacar por apresentar número de participantes frequentemente superior às metas estabelecidas para suas ações. As iniciativas realizadas são realmente efetivas, gerando reflexos positivos tanto nas empresas quanto nas vidas (âmbito pessoal, profissional e social) das empresárias nucleadas.
A pauta de atuação do Núcleo é baseada no desenvolvimento por meio das capacitações, a partir das quais implementam-se novos processos ou readéquam-se aqueles já existentes em matéria de gestão, sempre com o intuito de tornar os negócios mais competitivos.",,22,,,189,APOIADO,2,CC,false,123,Núcleo das Mulheres Empreendedoras de Chopinzinho - NUMEC,2021-05-04,2021-12-17,1,1,,2021-06-30,,Corrente,,,2021-10-31 00:00:00,false,,,,false,,false
2018,23063,Empreendedor Mais,2021-02-01,2021-06-30,"Promover o desenvolvimento com foco na melhoria e na evolução do perfil empreendedor, valorizando e fortalecendo a imagem e posicionamento das empresas atendidas, além de identificar seus pontos fortes e pontos de melhoria para potencializar resultados.",6485.3500000000,13051.40,104,1525,00000373-7,nao  ,,,,"Empresários da cidade de Cascavel, participantes do Núcleo multisetorial de Empretecos",,,concl,02179005938,5466.0500000000,1100.0000000000,6566.0500000000,"O Núcleo Multissetorial de Empretecos é formado por empreendedores de Cascavel, Paraná, que atuam nos setores industrial, comercial e de serviços.  O Núcleo tem como objetivo a busca pela constante melhoria da gestão empresarial, pelo autoconhecimento e pelo desenvolvimento do perfil empreendedor.

Baseado nos comportamentos e características de seus perfis empreendedores, os empresários nucleados puderam contar com diversas linhas de atuação por meio do Núcleo, tais quais: implementação de planejamento e gestão estratégicos nas empresas; capacitações com foco na melhoria da comunicação e posicionamento; capacitações sobre gestão financeira e autoconhecimento; mentorias com empreendedores e gestores de destaque na área; debates sobre modelos e ferramentas de gestão; visitas técnicas a empresas modelos e referências de atuação.

Com este projeto, busca-se dar continuidade à pauta de atuação estratégica do Núcleo prevista para 2021, contribuindo com esforços em termos de fortalecimento das marcas dos empresários nucleados, assim como da potencialização de seus negócios por meio do desenvolvimento de seus perfis empreendedores.",,22,,,189,APOIADO,2,CC,false,122,Núcleo Multissetorial de Empretecos.,2021-05-04,2021-12-17,1,1,,2021-06-30,,Corrente,,,2021-10-31 00:00:00,false,,,,false,,false
